SLURM_JOBID=71732
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 3.023000, worked 2472580,  iter 2, rank 6
Local work time: 2.995007, worked 2485460,  iter 2, rank 9
Local work time: 2.938006, worked 2470200,  iter 2, rank 12
Local work time: 3.144999, worked 2467240,  iter 2, rank 15
Local work time: 3.222001, worked 2508920,  iter 2, rank 14
Local work time: 3.089997, worked 2416960,  iter 2, rank 13
Local work time: 3.298999, worked 2524240,  iter 2, rank 4
Local work time: 3.367998, worked 2452160,  iter 2, rank 7
Local work time: 2.828006, worked 2457920,  iter 3, rank 13
Local work time: 2.949000, worked 2435680,  iter 3, rank 9
Local work time: 3.058985, worked 2545660,  iter 3, rank 8
Local work time: 2.981986, worked 2489880,  iter 3, rank 5
Local work time: 3.068996, worked 2536000,  iter 3, rank 1
Local work time: 3.041009, worked 2547940,  iter 3, rank 4
Local work time: 3.079001, worked 2489040,  iter 3, rank 12
Local work time: 3.073000, worked 2474980,  iter 3, rank 2
Local work time: 3.102000, worked 2477880,  iter 3, rank 3
Local work time: 3.239999, worked 2493720,  iter 3, rank 14
Local work time: 3.258999, worked 2513800,  iter 3, rank 10
Local work time: 3.223998, worked 2488580,  iter 3, rank 6
Local work time: 3.360001, worked 2529640,  iter 3, rank 11
Local work time: 3.416000, worked 2505900,  iter 3, rank 15
Local work time: 3.710988, worked 2478360,  iter 3, rank 7
Local work time: 3.928985, worked 2535020,  iter 3, rank 0
Local work time: 2.720997, worked 2527680,  iter 4, rank 12
Local work time: 2.859998, worked 2470980,  iter 4, rank 8
Local work time: 2.978999, worked 2517300,  iter 4, rank 1
Local work time: 3.047999, worked 2509280,  iter 4, rank 10
Local work time: 3.013005, worked 2434040,  iter 4, rank 13
Local work time: 3.086072, worked 2438960,  iter 4, rank 3
Local work time: 3.158995, worked 2493380,  iter 4, rank 2
Local work time: 3.171981, worked 2511860,  iter 4, rank 0
Local work time: 3.140007, worked 2511260,  iter 4, rank 5
Local work time: 3.179000, worked 2441340,  iter 4, rank 15
Local work time: 3.256994, worked 2499520,  iter 4, rank 7
Local work time: 3.254999, worked 2490380,  iter 4, rank 9
Local work time: 3.332998, worked 2534580,  iter 4, rank 6
Local work time: 3.311999, worked 2513220,  iter 4, rank 11
Local work time: 3.392993, worked 2549800,  iter 4, rank 4
Local work time: 3.520999, worked 2556420,  iter 4, rank 14
Local work time: 2.458157, worked 2425320,  iter 5, rank 4
Local work time: 3.016000, worked 2533680,  iter 5, rank 11
Local work time: 2.870996, worked 2401120,  iter 5, rank 9
Local work time: 3.141003, worked 2496700,  iter 5, rank 13
Local work time: 2.900998, worked 2373020,  iter 5, rank 6
Local work time: 2.956991, worked 2432580,  iter 5, rank 7
Local work time: 3.277931, worked 2516980,  iter 5, rank 2
Local work time: 3.265996, worked 2503500,  iter 5, rank 12
Local work time: 3.360988, worked 2576980,  iter 5, rank 10
Local work time: 3.387000, worked 2635100,  iter 5, rank 3
Local work time: 3.444938, worked 2586000,  iter 5, rank 0
Local work time: 3.469000, worked 2543060,  iter 5, rank 8
Local work time: 3.235000, worked 2337280,  iter 5, rank 5
Local work time: 3.521007, worked 2606100,  iter 5, rank 1
Local work time: 3.631886, worked 2497340,  iter 5, rank 15
Local work time: 3.871998, worked 2535240,  iter 5, rank 14
Local work time: 3.054999, worked 2458380,  iter 6, rank 15
Local work time: 3.037001, worked 2525320,  iter 6, rank 13
Local work time: 3.166990, worked 2515420,  iter 6, rank 0
Local work time: 3.128001, worked 2484280,  iter 6, rank 11
Local work time: 3.110000, worked 2449280,  iter 6, rank 7
Local work time: 3.108001, worked 2481180,  iter 6, rank 9
Local work time: 3.259998, worked 2597400,  iter 6, rank 14
Local work time: 3.161998, worked 2400940,  iter 6, rank 3
Local work time: 3.266998, worked 2455140,  iter 6, rank 1
Local work time: 3.344997, worked 2551940,  iter 6, rank 2
Local work time: 3.349999, worked 2598680,  iter 6, rank 4
Local work time: 3.338999, worked 2514140,  iter 6, rank 6
Local work time: 3.389001, worked 2458580,  iter 6, rank 10
Local work time: 3.461010, worked 2519440,  iter 6, rank 8
Local work time: 3.450991, worked 2490820,  iter 6, rank 5
Local work time: 3.633001, worked 2499060,  iter 6, rank 12
