SLURM_JOBID=71742
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=8
SLURM_NNODES=1
Local work time: 5.590027, worked 5064540,  iter 1, rank 7
Local work time: 5.625020, worked 5082360,  iter 1, rank 5
Local work time: 5.636997, worked 4962020,  iter 1, rank 0
Local work time: 5.716985, worked 4887160,  iter 1, rank 6
Local work time: 5.263871, worked 5036500,  iter 2, rank 1
Local work time: 5.208921, worked 4951740,  iter 2, rank 3
Local work time: 5.290944, worked 5003160,  iter 2, rank 7
Local work time: 5.266002, worked 4974360,  iter 2, rank 5
Local work time: 5.338990, worked 4964640,  iter 2, rank 2
Local work time: 5.411973, worked 5024040,  iter 2, rank 4
Local work time: 5.558983, worked 5050400,  iter 2, rank 0
Local work time: 5.556999, worked 4995160,  iter 2, rank 6
Local work time: 5.251326, worked 5008340,  iter 3, rank 4
Local work time: 5.474003, worked 5017020,  iter 3, rank 0
Local work time: 5.462998, worked 4989440,  iter 3, rank 5
Local work time: 5.532990, worked 5001340,  iter 3, rank 2
Local work time: 5.503923, worked 4933880,  iter 3, rank 7
Local work time: 5.606999, worked 5066700,  iter 3, rank 6
Local work time: 5.540000, worked 4976420,  iter 3, rank 3
Local work time: 5.679986, worked 5006860,  iter 3, rank 1
Local work time: 5.352999, worked 4988360,  iter 4, rank 4
Local work time: 5.403977, worked 5029160,  iter 4, rank 0
Local work time: 5.490997, worked 4959340,  iter 4, rank 1
Local work time: 5.464998, worked 4995500,  iter 4, rank 5
Local work time: 5.462999, worked 4997760,  iter 4, rank 7
Local work time: 5.652998, worked 5034060,  iter 4, rank 2
Local work time: 5.705000, worked 5007100,  iter 4, rank 3
Local work time: 5.735999, worked 4988720,  iter 4, rank 6
Local work time: 5.463999, worked 5056660,  iter 5, rank 5
Local work time: 5.500999, worked 5032600,  iter 5, rank 2
Local work time: 5.552995, worked 4963080,  iter 5, rank 1
Local work time: 5.566999, worked 4940600,  iter 5, rank 3
Local work time: 5.622000, worked 5032580,  iter 5, rank 7
Local work time: 5.649985, worked 5000200,  iter 5, rank 6
Local work time: 5.785999, worked 4976100,  iter 5, rank 0
Local work time: 5.812002, worked 4998180,  iter 5, rank 4
Local work time: 5.278999, worked 4973620,  iter 6, rank 4
Local work time: 5.490997, worked 5044960,  iter 6, rank 1
Local work time: 5.545997, worked 5044420,  iter 6, rank 3
Local work time: 5.480000, worked 4970380,  iter 6, rank 6
Local work time: 5.553001, worked 4996860,  iter 6, rank 5
Local work time: 5.512005, worked 5028780,  iter 6, rank 7
Local work time: 5.768999, worked 4959480,  iter 6, rank 0
Local work time: 5.796997, worked 4981500,  iter 6, rank 2
Local work time: 5.233002, worked 4980620,  iter 7, rank 1
Local work time: 5.312998, worked 5028080,  iter 7, rank 2
Local work time: 5.276000, worked 4995660,  iter 7, rank 7
Local work time: 5.331929, worked 5014120,  iter 7, rank 4
Local work time: 5.368918, worked 5007320,  iter 7, rank 6
Local work time: 5.479999, worked 4982100,  iter 7, rank 3
Local work time: 5.454000, worked 4954300,  iter 7, rank 5
Local work time: 5.659990, worked 5037800,  iter 7, rank 0
Local work time: 5.362998, worked 4958860,  iter 8, rank 7
Local work time: 5.414998, worked 4992480,  iter 8, rank 6
Local work time: 5.472998, worked 5060820,  iter 8, rank 0
Local work time: 5.472996, worked 5046320,  iter 8, rank 2
Local work time: 5.480990, worked 5005620,  iter 8, rank 4
Local work time: 5.524987, worked 4984960,  iter 8, rank 3
Local work time: 5.575997, worked 4958920,  iter 8, rank 1
Local work time: 5.699999, worked 4992020,  iter 8, rank 5
Local work time: 5.395999, worked 4979640,  iter 9, rank 4
Local work time: 5.416000, worked 4920120,  iter 9, rank 7
Local work time: 5.453002, worked 5053820,  iter 9, rank 2
Local work time: 5.568999, worked 5131040,  iter 9, rank 0
Local work time: 5.544000, worked 4929360,  iter 9, rank 1
Local work time: 5.579999, worked 4947680,  iter 9, rank 3
Local work time: 5.714000, worked 4999700,  iter 9, rank 5
Local work time: 5.813945, worked 5038640,  iter 9, rank 6
Local work time: 5.222107, worked 4942600,  iter 10, rank 7
Local work time: 5.325999, worked 5102980,  iter 10, rank 0
Local work time: 5.323999, worked 5009340,  iter 10, rank 5
Local work time: 5.336991, worked 4964960,  iter 10, rank 2
Local work time: 5.343999, worked 5049400,  iter 10, rank 6
Local work time: 5.398999, worked 4975080,  iter 10, rank 3
Local work time: 5.388999, worked 4975680,  iter 10, rank 1
Local work time: 5.483998, worked 4979960,  iter 10, rank 4
Total time: 58.928993
Local work time: 5.403996, worked 4914160,  iter 1, rank 6
Local work time: 5.439993, worked 4928500,  iter 1, rank 1
Local work time: 5.484997, worked 5131400,  iter 1, rank 0
Local work time: 5.491996, worked 5055360,  iter 1, rank 5
Local work time: 5.688967, worked 4951740,  iter 1, rank 3
Local work time: 5.685996, worked 5084160,  iter 1, rank 7
Local work time: 5.686999, worked 4997040,  iter 1, rank 4
Local work time: 5.826972, worked 4937640,  iter 1, rank 2
Local work time: 5.223001, worked 5009500,  iter 2, rank 1
Local work time: 5.284972, worked 4991640,  iter 2, rank 2
Local work time: 5.293997, worked 5016020,  iter 2, rank 0
Local work time: 5.445982, worked 4995160,  iter 2, rank 6
Local work time: 5.486986, worked 4943040,  iter 2, rank 4
Local work time: 5.606970, worked 5064540,  iter 2, rank 7
Local work time: 5.557000, worked 4974360,  iter 2, rank 5
Local work time: 5.695997, worked 5005740,  iter 2, rank 3
Local work time: 5.209550, worked 4981340,  iter 3, rank 4
Local work time: 5.217007, worked 4920340,  iter 3, rank 2
Local work time: 5.240998, worked 5003420,  iter 3, rank 3
Local work time: 5.343998, worked 5000960,  iter 3, rank 6
Local work time: 5.403008, worked 5006860,  iter 3, rank 1
Local work time: 5.412002, worked 5016440,  iter 3, rank 5
Local work time: 5.446999, worked 5071020,  iter 3, rank 0
Local work time: 5.463001, worked 4999620,  iter 3, rank 7
Local work time: 5.315000, worked 5022500,  iter 4, rank 5
Local work time: 5.334999, worked 4965460,  iter 4, rank 7
Local work time: 5.507010, worked 5007060,  iter 4, rank 2
Local work time: 5.496043, worked 5021020,  iter 4, rank 6
Local work time: 5.555999, worked 4961360,  iter 4, rank 4
Local work time: 5.625989, worked 5002160,  iter 4, rank 0
Local work time: 5.631990, worked 5013340,  iter 4, rank 1
Local work time: 5.810968, worked 5007100,  iter 4, rank 3
Local work time: 5.243999, worked 5032580,  iter 5, rank 7
Local work time: 5.453997, worked 4973200,  iter 5, rank 6
Local work time: 5.420998, worked 4967600,  iter 5, rank 3
Local work time: 5.654998, worked 4976100,  iter 5, rank 0
Local work time: 5.640998, worked 4978600,  iter 5, rank 2
Local work time: 5.747996, worked 5056660,  iter 5, rank 5
Local work time: 5.757999, worked 5025180,  iter 5, rank 4
Local work time: 5.740000, worked 4990080,  iter 5, rank 1
Local work time: 5.198931, worked 4997380,  iter 6, rank 6
Local work time: 5.343999, worked 4973620,  iter 6, rank 4
Local work time: 5.326000, worked 5017420,  iter 6, rank 3
Local work time: 5.392988, worked 4979800,  iter 6, rank 2
Local work time: 5.443996, worked 5055780,  iter 6, rank 7
Local work time: 5.595918, worked 4961180,  iter 6, rank 0
Local work time: 5.595926, worked 4990960,  iter 6, rank 1
Local work time: 5.621997, worked 5023860,  iter 6, rank 5
Local work time: 5.286996, worked 5034620,  iter 7, rank 1
Local work time: 5.264426, worked 5047640,  iter 7, rank 6
Local work time: 5.260010, worked 4981300,  iter 7, rank 5
Local work time: 5.474997, worked 4983800,  iter 7, rank 0
Local work time: 5.401998, worked 4955340,  iter 7, rank 7
Local work time: 5.480998, worked 4960120,  iter 7, rank 4
Local work time: 5.546997, worked 5028080,  iter 7, rank 2
Local work time: 5.580000, worked 5009100,  iter 7, rank 3
Local work time: 5.254177, worked 5012920,  iter 8, rank 1
Local work time: 5.225985, worked 5033820,  iter 8, rank 0
Local work time: 5.228997, worked 4992020,  iter 8, rank 5
Local work time: 5.341977, worked 5073320,  iter 8, rank 2
Local work time: 5.288027, worked 4992480,  iter 8, rank 6
Local work time: 5.295026, worked 4951620,  iter 8, rank 4
Local work time: 5.273057, worked 4958860,  iter 8, rank 7
Local work time: 5.323999, worked 4984960,  iter 8, rank 3
Local work time: 5.286000, worked 4947680,  iter 9, rank 3
Local work time: 5.429000, worked 4982860,  iter 9, rank 1
Local work time: 5.457888, worked 4951160,  iter 9, rank 6
Local work time: 5.535001, worked 4979640,  iter 9, rank 4
Local work time: 5.684998, worked 5084020,  iter 9, rank 0
Local work time: 5.696001, worked 5080820,  iter 9, rank 2
Local work time: 5.619001, worked 4999700,  iter 9, rank 5
Local work time: 5.723001, worked 4974120,  iter 9, rank 7
Local work time: 5.343999, worked 5029080,  iter 10, rank 3
Local work time: 5.310944, worked 4978060,  iter 10, rank 6
Local work time: 5.400998, worked 5048980,  iter 10, rank 0
Local work time: 5.411997, worked 5029680,  iter 10, rank 1
Local work time: 5.376000, worked 4955340,  iter 10, rank 5
Local work time: 5.451000, worked 4952960,  iter 10, rank 4
Local work time: 5.537994, worked 4991960,  iter 10, rank 2
Local work time: 5.634939, worked 5013940,  iter 10, rank 7
Total time: 59.179007
Local work time: 5.286091, worked 5024040,  iter 1, rank 4
Local work time: 5.271989, worked 4995160,  iter 1, rank 6
Local work time: 5.315990, worked 4949160,  iter 1, rank 7
Local work time: 5.357982, worked 4951740,  iter 1, rank 3
Local work time: 5.449982, worked 4964640,  iter 1, rank 2
Local work time: 5.536998, worked 5036500,  iter 1, rank 1
Local work time: 5.639981, worked 5077400,  iter 1, rank 0
Local work time: 5.783998, worked 5001360,  iter 1, rank 5
Local work time: 5.342980, worked 4978740,  iter 2, rank 3
Local work time: 5.327021, worked 5024040,  iter 2, rank 4
Local work time: 5.381992, worked 4989020,  iter 2, rank 0
Local work time: 5.385990, worked 5009500,  iter 2, rank 1
Local work time: 5.324290, worked 4893360,  iter 2, rank 5
Local work time: 5.351001, worked 5064540,  iter 2, rank 7
Local work time: 5.537982, worked 5072640,  iter 2, rank 2
Local work time: 5.568997, worked 4968160,  iter 2, rank 6
Local work time: 5.306998, worked 5080180,  iter 3, rank 1
Local work time: 5.329978, worked 5044020,  iter 3, rank 0
Local work time: 5.342042, worked 4928020,  iter 3, rank 2
Local work time: 5.374989, worked 4981340,  iter 3, rank 4
Local work time: 5.461008, worked 5026620,  iter 3, rank 7
Local work time: 5.461000, worked 4989440,  iter 3, rank 5
Local work time: 5.576987, worked 4973960,  iter 3, rank 6
Local work time: 5.708001, worked 4976420,  iter 3, rank 3
Local work time: 5.298000, worked 5015160,  iter 4, rank 1
Local work time: 5.406999, worked 5123720,  iter 4, rank 6
Local work time: 5.433967, worked 5010660,  iter 4, rank 0
Local work time: 5.455000, worked 5003840,  iter 4, rank 4
Local work time: 5.434001, worked 4926020,  iter 4, rank 5
Local work time: 5.538999, worked 5070260,  iter 4, rank 7
Local work time: 5.760997, worked 4951240,  iter 4, rank 2
Local work time: 5.970998, worked 4899100,  iter 4, rank 3
Local work time: 5.481999, worked 5248580,  iter 5, rank 7
Local work time: 5.496975, worked 5003100,  iter 5, rank 0
Local work time: 5.423436, worked 4921660,  iter 5, rank 5
Local work time: 5.517001, worked 5109540,  iter 5, rank 1
Local work time: 5.603995, worked 4892200,  iter 5, rank 6
Local work time: 5.687001, worked 4929680,  iter 5, rank 4
Local work time: 5.691993, worked 4967600,  iter 5, rank 3
Local work time: 5.825999, worked 4927640,  iter 5, rank 2
Local work time: 5.342000, worked 5088980,  iter 6, rank 1
Local work time: 5.539991, worked 5067480,  iter 6, rank 0
Local work time: 5.518991, worked 4874060,  iter 6, rank 6
Local work time: 5.562998, worked 5190780,  iter 6, rank 7
Local work time: 5.679000, worked 4996860,  iter 6, rank 5
Local work time: 5.712997, worked 4919620,  iter 6, rank 4
Local work time: 5.851000, worked 4936420,  iter 6, rank 3
Local work time: 5.999999, worked 4925800,  iter 6, rank 2
Local work time: 5.484997, worked 5039140,  iter 7, rank 0
Local work time: 5.518888, worked 4979280,  iter 7, rank 1
Local work time: 5.604003, worked 4926320,  iter 7, rank 6
Local work time: 5.709000, worked 5008300,  iter 7, rank 5
Local work time: 5.812999, worked 5001080,  iter 7, rank 2
Local work time: 5.847998, worked 4954400,  iter 7, rank 4
Local work time: 5.718012, worked 5022660,  iter 7, rank 7
Local work time: 5.909998, worked 5068820,  iter 7, rank 3
Local work time: 5.362991, worked 4978620,  iter 8, rank 4
Local work time: 5.377998, worked 5019020,  iter 8, rank 5
Local work time: 5.421998, worked 5006740,  iter 8, rank 0
Local work time: 5.369999, worked 4984960,  iter 8, rank 3
Local work time: 5.466998, worked 4985920,  iter 8, rank 1
Local work time: 5.524997, worked 5046320,  iter 8, rank 2
