SLURM_JOBID=71772
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 1.879831, worked 1862280, iter 2, rank 12
Local work time: 1.963847, worked 1945060, iter 2, rank 6
Local work time: 2.343299, worked 2327980, iter 2, rank 13
Local work time: 2.433317, worked 2417960, iter 2, rank 5
Local work time: 2.875663, worked 2848060, iter 2, rank 14
Local work time: 2.975495, worked 2960600, iter 2, rank 4
Local work time: 3.356392, worked 3332500, iter 2, rank 15
Local work time: 3.466444, worked 3454300, iter 2, rank 3
Local work time: 3.802863, worked 3791980, iter 2, rank 0
Local work time: 3.839689, worked 3827600, iter 2, rank 2
Local work time: 4.085026, worked 4073860, iter 2, rank 1
Local work time: 1.354991, worked 1331600, iter 3, rank 10
Local work time: 1.361456, worked 1338240, iter 3, rank 11
Local work time: 1.396613, worked 1373600, iter 3, rank 12
Local work time: 1.495306, worked 1473280, iter 3, rank 9
Local work time: 1.666499, worked 1646040, iter 3, rank 13
Local work time: 1.791353, worked 1771540, iter 3, rank 8
Local work time: 2.088184, worked 2060700, iter 3, rank 14
Local work time: 2.266895, worked 2249040, iter 3, rank 7
Local work time: 2.563894, worked 2540560, iter 3, rank 15
Local work time: 2.763410, worked 2749220, iter 3, rank 6
Local work time: 3.063526, worked 3050640, iter 3, rank 0
Local work time: 3.288742, worked 3275540, iter 3, rank 5
Local work time: 3.530106, worked 3518740, iter 3, rank 1
Local work time: 3.724800, worked 3712960, iter 3, rank 4
Local work time: 3.930022, worked 3919840, iter 3, rank 2
Local work time: 3.999795, worked 3988460, iter 3, rank 3
Local work time: 1.338136, worked 1314180, iter 4, rank 13
Local work time: 1.389672, worked 1365780, iter 4, rank 11
Local work time: 1.414973, worked 1393260, iter 4, rank 12
Local work time: 1.501519, worked 1475460, iter 4, rank 14
Local work time: 1.684569, worked 1664200, iter 4, rank 10
Local work time: 1.790801, worked 1768660, iter 4, rank 15
Local work time: 2.066460, worked 2048440, iter 4, rank 9
Local work time: 2.266496, worked 2249100, iter 4, rank 0
Local work time: 2.557843, worked 2541400, iter 4, rank 8
Local work time: 2.765459, worked 2751460, iter 4, rank 1
Local work time: 3.047636, worked 3033320, iter 4, rank 7
Local work time: 3.258389, worked 3244760, iter 4, rank 2
Local work time: 3.585832, worked 3573980, iter 4, rank 6
Local work time: 3.681452, worked 3670020, iter 4, rank 3
Local work time: 3.924468, worked 3912840, iter 4, rank 5
Local work time: 4.004417, worked 3993140, iter 4, rank 4
Local work time: 1.359983, worked 1332640, iter 5, rank 14
Local work time: 1.374438, worked 1351000, iter 5, rank 13
Local work time: 1.404129, worked 1378640, iter 5, rank 15
Local work time: 1.544359, worked 1523080, iter 5, rank 12
Local work time: 1.600859, worked 1579220, iter 5, rank 0
Local work time: 1.896970, worked 1878460, iter 5, rank 11
Local work time: 1.972534, worked 1955280, iter 5, rank 1
Local work time: 2.370213, worked 2353060, iter 5, rank 10
Local work time: 2.438068, worked 2422040, iter 5, rank 2
Local work time: 2.844061, worked 2829400, iter 5, rank 9
