SLURM_JOBID=71755
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=8
SLURM_NNODES=1
Local work time: 7.655236, worked 7630140, iter 6, rank 4
Local work time: 2.784310, worked 2732260, iter 7, rank 0
Local work time: 2.942355, worked 2890900, iter 7, rank 1
Local work time: 3.625963, worked 3581580, iter 7, rank 7
Local work time: 4.235035, worked 4199540, iter 7, rank 2
Local work time: 5.421994, worked 5388340, iter 7, rank 6
Local work time: 6.219959, worked 6193840, iter 7, rank 3
Local work time: 7.267604, worked 7240400, iter 7, rank 5
Local work time: 7.796465, worked 7773140, iter 7, rank 4
Local work time: 2.733358, worked 2682360, iter 8, rank 1
Local work time: 3.088865, worked 3042520, iter 8, rank 2
Local work time: 3.354612, worked 3308860, iter 8, rank 0
Local work time: 4.630203, worked 4596720, iter 8, rank 3
Local work time: 4.996016, worked 4961280, iter 8, rank 7
Local work time: 6.604448, worked 6578400, iter 8, rank 4
Local work time: 6.946642, worked 6920080, iter 8, rank 6
Local work time: 7.932085, worked 7909780, iter 8, rank 5
Local work time: 2.746058, worked 2695260, iter 9, rank 2
Local work time: 3.074096, worked 3027080, iter 9, rank 1
Local work time: 3.289053, worked 3244580, iter 9, rank 3
Local work time: 4.617203, worked 4579960, iter 9, rank 0
Local work time: 5.061769, worked 5029700, iter 9, rank 4
Local work time: 6.614516, worked 6585520, iter 9, rank 7
Local work time: 6.985951, worked 6960200, iter 9, rank 5
Local work time: 7.901629, worked 7877700, iter 9, rank 6
Local work time: 2.710488, worked 2657620, iter 10, rank 3
Local work time: 2.903593, worked 2852440, iter 10, rank 2
Local work time: 3.587220, worked 3546240, iter 10, rank 4
Local work time: 4.365450, worked 4328340, iter 10, rank 1
Local work time: 5.403071, worked 5374420, iter 10, rank 5
Local work time: 6.240573, worked 6209840, iter 10, rank 0
Local work time: 7.262434, worked 7238040, iter 10, rank 6
Total time: 78.367719
Local work time: 7.818007, worked 7793060, iter 10, rank 7
Local work time: 2.791469, worked 2741200, iter 1, rank 3
Local work time: 2.833213, worked 2781060, iter 1, rank 4
Local work time: 3.883088, worked 3845260, iter 1, rank 5
Local work time: 3.885351, worked 3843960, iter 1, rank 2
Local work time: 5.805480, worked 5777260, iter 1, rank 6
Local work time: 5.834383, worked 5803600, iter 1, rank 1
Local work time: 7.578195, worked 7553920, iter 1, rank 7
Local work time: 7.678758, worked 7653740, iter 1, rank 0
Local work time: 2.777585, worked 2726420, iter 2, rank 4
Local work time: 2.902791, worked 2854460, iter 2, rank 5
Local work time: 3.565170, worked 3522000, iter 2, rank 3
Local work time: 4.222812, worked 4190260, iter 2, rank 6
Local work time: 5.412598, worked 5378560, iter 2, rank 2
Local work time: 6.206837, worked 6180560, iter 2, rank 7
Local work time: 7.308318, worked 7281900, iter 2, rank 1
Local work time: 7.888607, worked 7865840, iter 2, rank 0
Local work time: 2.721437, worked 2669840, iter 3, rank 5
